Y		LRT		VR1		VR2		Gender		School
-0.6058763		-10.6193		0		0		1		1
0.9911532		8.3807		1		0		1		1
-1.5640939		-12.6193		0		0		0		1
0.112787		14.3807		0		1		1		1
0.7515988		9.3807		1		0		0		1
0.5918959		2.3807		0		1		1		1
0.7515988		9.3807		0		1		1		1
-1.0849851		-7.6193		0		1		0		1
-1.8036484		-4.6193		0		1		0		1
1.3904106		0.3807		0		1		1		1
0.9113018		2.3807		0		1		0		1
0.4321929		-3.6193		0		1		1		1
1.1508562		4.3807		0		1		0		1
-0.3663218		-1.6193		0		1		0		1
1.5501135		14.3807		1		0		1		1
-0.2066189		-10.6193		0		1		0		1
0.3523414		6.3807		0		1		1		1
0.4321929		14.3807		1		0		1		1
-0.9252821		-4.6193		0		1		1		1
1.0710047		1.3807		0		1		0		1
-0.3663218		-9.6193		0		1		0		1
-0.1267674		-7.6193		0		1		0		1
-1.244688		-1.6193		0		1		0		1
-0.2864704		-7.6193		0		1		1		1
-0.4461733		14.3807		0		1		1		1
-0.5260248		-14.6193		0		1		0		1
0.1926385		11.3807		1		0		1		1
-1.4842425		-18.6193		0		0		0		1
1.1508562		10.3807		1		0		1		1
-0.2066189		15.3807		1		0		0		1
-1.404391		-9.6193		0		0		0		1
-0.6857277		-22.6193		0		0		1		1
0.112787		19.3807		1		0		0		1
0.27249		10.3807		0		1		1		1
1.1508562		5.3807		0		1		1		1
0.112787		-1.6193		0		1		0		1
-0.5260248		10.3807		0		1		1		1
0.3523414		1.3807		0		1		1		1
1.1508562		-6.6193		0		1		1		1
0.27249		-13.6193		0		1		0		1
-0.1267674		-7.6193		0		1		1		1
0.5120444		-3.6193		0		1		0		1
0.5120444		16.3807		0		1		0		1
0.9113018		8.3807		1		0		0		1
0.9113018		1.3807		1		0		1		1
-1.0051336		-0.6193		0		1		0		1
0.1926385		6.3807		0		1		1		1
-0.5260247		-13.6193		0		0		1		2
-0.6857277		-8.6193		0		1		0		2
-0.9252821		-20.6193		0		0		1		2
0.4321929		-2.6193		0		1		1		2
0.2724899		13.3807		1		0		1		2
0.7515988		3.3807		0		1		1		2
-0.5260247		-8.6193		0		1		1		2
-0.3663218		8.3807		1		0		0		2
-1.6439454		-5.6193		0		1		0		2
-1.5640939		-12.6193		0		0		0		2
0.2724899		0.3807		0		1		1		2
-1.4043909		-22.6193		0		0		0		2
0.1926384		-4.6193		0		1		1		2
-1.1648365		-34.6193		0		0		0		2
-0.6058762		-1.6193		0		1		1		2
1.8695194		18.3807		1		0		1		2
1.3904105		16.3807		1		0		0		2
-1.7237968		-12.6193		0		1		1		2
-1.244688		8.3807		0		1		1		2
2.6680341		20.3807		1		0		1		2
-1.3245395		-24.6193		0		0		0		2
-1.3245395		-11.6193		0		1		0		2
-0.8454306		-9.6193		0		0		1		2
-0.2066188		-3.6193		0		1		0		2
-1.0051336		-3.6193		0		1		1		2
0.4321929		-2.6193		0		1		0		2
-0.3663218		-3.6193		0		1		0		2
-0.1267674		4.3807		0		1		1		2
-1.1648365		-1.6193		0		1		0		2
-2.0432027		-17.6193		0		0		0		2
0.5120443		-2.6193		0		1		1		2
1.1508561		15.3807		1		0		0		2
-0.5260247		-19.6193		0		0		0		2
0.7515988		-2.6193		1		0		0		2
-0.3663218		-2.6193		0		1		0		2
0.112787		10.3807		0		1		1		2
-0.1267674		3.3807		0		1		1		2
1.2307076		35.3807		1		0		1		2
1.470262		5.3807		1		0		1		2
1.2307076		12.3807		0		1		0		2
1.3105591		-13.6193		0		1		1		2
0.6717473		16.3807		1		0		1		2
-1.3245395		-23.6193		0		0		1		2
-0.3663218		-5.6193		0		1		1		2
1.0710047		0.3807		0		1		1		2
-0.0469159		-11.6193		0		0		0		2
0.6717473		-0.6193		0		1		1		2
-0.6058762		-2.6193		0		1		0		2
-1.0849851		-1.6193		0		1		1		2
-0.5260247		20.3807		1		0		0		2
1.5501135		5.3807		0		1		1		2
0.2724899		5.3807		0		1		0		2
0.3523414		7.3807		1		0		1		2
2.1090738		20.3807		1		0		1		2
-0.6058762		-0.6193		0		1		1		2
1.0710047		9.3807		0		1		1		2
0.4321929		1.3807		0		1		0		2
-1.1648365		-10.6193		0		1		1		2
-0.0469159		-0.6193		1		0		1		2
-1.244688		-4.6193		0		1		1		2
-0.1267674		1.3807		0		1		0		2
-0.5260247		-4.6193		0		1		0		2
2.0292223		16.3807		1		0		1		3
0.6717473		-3.6193		0		1		0		3
0.5918958		8.3807		1		0		0		3
-0.2066188		3.3807		0		1		0		3
1.470262		9.3807		0		1		1		3
0.4321929		3.3807		0		1		1		3
-0.7655792		3.3807		0		1		0		3
0.5918958		1.3807		0		1		0		3
-0.4461733		9.3807		1		0		0		3
0.0329355		-2.6193		0		1		1		3
1.2307076		11.3807		0		1		1		3
-0.7655792		-24.6193		0		0		1		3
0.4321929		7.3807		1		0		0		3
-0.7655792		10.3807		1		0		0		3
0.3523414		-6.6193		0		1		1		3
0.5918958		27.3807		1		0		0		3
-1.4043909		-1.6193		0		0		1		3
1.7896679		18.3807		0		1		1		3
-0.4461733		-5.6193		0		1		1		3
0.0329355		6.3807		0		1		1		3
0.0329355		-7.6193		0		1		1		3
-0.3663218		12.3807		1		0		1		3
-0.0469159		-1.6193		0		1		0		3
1.470262		18.3807		1		0		1		3
-0.5260247		7.3807		0		1		0		3
2.5881827		0.3807		1		0		1		3
-0.0469159		17.3807		0		1		1		3
0.3523414		20.3807		1		0		1		3
1.629965		9.3807		1		0		1		3
-1.3245395		-10.6193		0		1		0		3
-1.8834998		-18.6193		0		1		1		3
-0.6857277		-3.6193		0		1		1		3
-0.0469159		-0.6193		0		1		0		3
-1.8834998		-12.6193		0		1		1		3
-0.3663218		15.3807		0		1		1		3
0.5918958		1.3807		0		1		0		3
-0.0469159		9.3807		0		1		0		3
-1.8036483		-10.6193		0		1		0		3
0.5120443		5.3807		1		0		1		3
0.9113017		11.3807		0		1		1		3
-1.4842424		-13.6193		0		0		1		3
-1.4043909		5.3807		0		1		1		3
1.0710047		17.3807		0		1		0		3
-0.2864703		-1.6193		0		1		1		3
-1.0849851		-5.6193		0		1		1		3
-0.2864703		-10.6193		0		1		0		3
0.9911532		10.3807		0		1		1		3
1.629965		7.3807		1		0		0		3
-0.5260247		-7.6193		0		1		1		3
1.470262		19.3807		1		0		1		3
0.6717473		11.3807		1		0		1		3
-0.6857277		0.3807		0		0		1		3
0.4321929		18.3807		1		0		1		3
-0.6058762		-12.6193		0		0		1		3
0.5918958		7.3807		1		0		0		3
0.112787		-0.6193		0		1		0		3
-0.6857277		5.3807		0		1		0		3
1.2307076		13.3807		0		1		1		3
-0.9252821		-7.6193		0		1		0		3
-0.0469159		-1.6193		0		1		1		3
-1.244688		-2.6193		0		0		1		3
0.112787		26.3807		0		1		1		3
-1.1648365		0.3807		0		1		0		3
-0.6857277		6.3807		0		1		1		3
-1.0849851		7.3807		0		1		1		3
1.3904105		4.3807		0		1		1		3
1.9493709		23.3807		1		0		1		3
-1.0849851		12.3807		0		1		0		3
-0.4461733		-7.6193		0		1		1		3
2.1090738		18.3807		1		0		1		3
-1.1648365		10.3807		0		1		0		3
-0.5260247		-12.6193		0		1		0		3
-0.2066188		0.3807		1		0		0		3
0.3523414		6.3807		1		0		1		3
1.7896679		15.3807		0		1		1		3
1.629965		-0.6193		1		0		0		3
0.3523414		9.3807		0		1		0		3
-1.0051336		-15.6193		0		1		0		3
0.6717473		-3.6193		0		1		1		3
1.5501135		17.3807		1		0		1		3
-0.2066188		8.3807		0		1		0		3
2.0292223		25.3807		1		0		0		3
-0.0469159		10.3807		0		1		0		3
0.3523414		-5.6193		0		1		1		3
0.1926384		13.3807		1		0		0		3
0.9911532		10.3807		1		0		1		3
-0.2864703		-5.6193		0		1		0		3
-1.244688		4.3807		0		1		0		3
-0.1267674		13.3807		0		1		1		3
0.9911532		35.3807		1		0		1		3
-0.6857277		-12.6193		0		1		1		3
-0.5260247		3.3807		0		1		1		3
0.8314502		23.3807		1		0		1		3
1.2307076		19.3807		0		1		1		3
0.9911532		19.3807		0		1		1		3
0.7515988		20.3807		1		0		1		3
1.0710047		4.3807		1		0		1		3
-0.7655792		0.3807		0		1		0		3
0.5918958		9.3807		0		1		0		3
-0.9252821		-22.6193		0		0		1		3
-0.2864703		5.3807		0		1		0		3
-1.5640939		-4.6193		0		1		0		3
0.2724899		3.3807		0		1		0		3
-0.4461733		6.3807		0		1		0		3
0.8314502		-21.6193		0		1		0		3
-1.1648365		-12.6193		0		1		0		3
0.7515988		5.3807		1		0		0		3
-0.0469159		5.3807		0		1		0		3
-1.7237968		-17.6193		0		0		0		3
-1.3245395		7.3807		0		1		0		3
1.3904105		24.3807		1		0		1		3
1.0710047		17.3807		1		0		1		3
0.8314502		12.3807		0		1		0		3
-1.0849851		-5.6193		0		1		1		3
1.7098164		2.3807		0		1		1		3
-0.1267674		5.3807		1		0		1		3
-0.2066188		11.3807		1		0		0		3
-1.0051336		8.3807		0		1		0		3
1.7098164		29.3807		1		0		0		3
-0.3663218		-6.6193		0		1		1		3
1.470262		4.3807		0		1		0		3
1.5501135		22.3807		0		1		1		3
0.9911532		-1.6193		0		1		1		3
1.2307076		5.3807		1		0		1		3
-0.8454306		-12.6193		0		1		0		3
-0.1267674		12.3807		0		1		1		3
0.5918958		15.3807		0		1		0		3
0.7515988		23.3807		1		0		0		3
1.3904105		7.3807		1		0		1		3
0.4321929		8.3807		1		0		1		3
0.112787		23.3807		1		0		0		3
0.3523414		0.3807		0		1		0		3
0.2724899		-2.6193		0		1		0		3
-1.4842424		-9.6193		0		1		1		3
0.1926384		2.3807		0		1		0		3
2.1889253		23.3807		1		0		0		3
